RAJ2000,DEJ2000,SrcIDgaia,RAgaia,e_RAgaia,DEgaia,e_DEgaia,EPucac,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error
3.8434547,41.7056044,383693411649211136,3.8434636,0.2,41.7055553,0.1,2002.664,1.9,1.3,-14.4,1.3,10.717,10.716540322130513,838092.3889719136,1392.6310976565824
3.6933331,41.5715497,383667848004907392,3.6932661,0.3,41.5715186,0.1,2002.666,-14.6,1.1,-9.0,1.1,10.781,10.781331026842771,789542.6860597398,818.4313773136766
2.9494225,41.8000897,383743405069569024,2.9497953,0.4,41.8000114,0.2,2002.664,81.1,1.1,-22.8,1.1,10.843,10.843432337305883,745650.1174704472,1359.3783125826278
3.2769147,41.5337192,383676163061593600,3.2768992,0.5,41.5337069,0.3,2002.663,-3.4,1.1,-3.6,1.1,10.984,10.984329536148286,654901.8406947289,2126.9896086516737
3.6032883,41.5989094,383679495956213120,3.6032733,0.3,41.5989033,0.1,2002.659,-3.3,1.1,-1.8,1.1,11.045,11.044849264867416,619395.8904548954,1908.517517030756
3.7788846,41.6019953,383690491071452672,3.7788489,0.5,41.6019592,0.2,2002.661,-7.8,1.1,-10.5,1.1,11.089,11.088911440595426,594762.3233573606,2629.2011285827352
4.1604022,41.6322381,383506288513909760,4.1603656,0.4,41.6321494,0.2,2002.664,-8.0,1.4,-25.9,1.4,11.246,11.24578252324423,514748.41288400086,4565.822417595285
3.2525243,41.4633714,383674445074678656,3.2524889,0.2,41.4633439,0.1,2002.657,-7.7,1.1,-8.1,1.2,11.257,11.257324666888575,509305.2568070824,1136.2354861161573
3.4664247,41.842055,383756221250943488,3.4664458,0.3,41.8420292,0.1,2002.666,4.6,1.2,-7.5,1.2,11.258,11.257628848824076,509162.58885645337,1680.8579940053767
3.6382684,41.7526083,383707739663604352,3.6382819,0.3,41.7526164,0.1,2002.664,2.9,1.1,2.4,1.1,11.27,11.270306938978852,503251.69921335805,3430.0899856957053
3.7234883,41.8110569,383706777591115520,3.7235556,0.5,41.811075,0.3,2002.662,14.6,1.1,5.2,1.1,11.307,11.306908096911341,486569.3930380828,1354.535149882749
3.0416069,41.9526881,383748902626665600,3.0416314,0.2,41.9526894,0.1,2002.665,5.3,1.1,0.4,1.1,11.335,11.335402743688505,473965.71562659286,757.70590016537
3.3815042,41.5623814,383676403579761536,3.3814772,0.3,41.5623864,0.1,2002.663,-5.9,1.1,1.5,1.1,11.343,11.342710800399427,470786.1797816506,2710.9949053544506
3.8168669,41.4570842,383663209440232576,3.81699,0.3,41.4570367,0.1,2002.653,26.9,1.4,-13.9,1.4,11.387,11.387443232116976,451783.88186553324,1994.290027952938
3.4346656,41.3665192,383670390625554688,3.4348103,0.2,41.3665064,0.1,2002.657,31.7,1.2,-3.7,1.2,11.435,11.435226079575692,432332.21076849214,2707.1334506723206
3.0063692,41.543945,383350913778371712,3.0063589,0.5,41.5439147,0.4,2002.664,-2.3,1.1,-8.8,1.1,11.541,11.540564289864047,392357.8170443386,897.7441497270299
3.4526896,41.6644217,383683069368999808,3.45274,0.6,41.6643919,0.2,2002.663,11.0,1.2,-8.6,1.2,11.604,11.60409636583214,370057.7289308624,137.9522063026375
3.6059608,41.8888219,383711003835248384,3.6059706,0.2,41.888805,0.1,2002.666,2.1,1.2,-4.9,1.2,11.651,11.650726917812467,354500.8316884134,640.7549492259321
3.6318105,41.6288236,383680011351249792,3.6319233,0.5,41.6287981,0.2,2002.664,24.6,1.2,-7.5,1.2,11.659,11.658953368214199,351824.98534652346,668.8753667043987
3.6970394,41.5214292,383667435688048768,3.6970617,0.2,41.5214331,0.1,2002.664,4.9,1.2,1.1,1.2,11.669,11.668908920881922,348613.7055762777,452.47456829681795
2.9450347,41.6011553,383362974046537088,2.9451278,0.3,41.6011397,0.2,2002.665,20.3,1.1,-4.5,1.1,11.72,11.720455031384432,332449.7517464524,723.9558147029545
3.2053292,41.4993661,383721414837026176,3.2053436,0.2,41.49937,0.1,2002.661,3.2,1.1,1.1,1.1,11.735,11.73519955475513,327965.5322379636,496.6107308492282
3.7088833,41.6936183,383703994448629120,3.7088694,0.1,41.6936028,0.1,2002.664,-3.0,1.2,-4.6,1.2,11.769,11.768844886920002,317958.23004892794,437.3118635521668
3.3906583,41.5030203,383675338427874432,3.3906244,0.2,41.5030142,0.1,2002.662,-7.4,1.1,-1.8,1.1,11.816,11.816477045046954,304310.68912152905,487.5913850683306
3.5937999,41.8920139,383710900756033152,3.5938122,0.3,41.8920106,0.1,2002.664,2.7,1.2,-1.0,1.2,11.829,11.829462188394324,300692.8837811357,3136.7675470008508
3.3916858,41.6317758,383682725771617664,3.3916422,0.2,41.6317775,0.1,2002.664,-9.5,1.2,0.5,1.2,11.873,11.872540350441891,288996.0356946222,1950.7409735818183
2.9796686,41.6745656,383738766504893568,2.9796269,0.1,41.6745672,0.1,2002.665,-9.1,1.1,0.5,1.1,11.904,11.90415471278737,280702.40941180923,221.1092468014091
3.9122463,41.6658353,383692724454445056,3.9122308,0.1,41.6657911,0.1,2002.664,-3.4,1.4,-12.9,1.4,11.909,11.90854110869399,279570.6537802195,116.40968628378917
3.2793497,41.6249767,383723888738182784,3.2793161,0.3,41.6248656,0.1,2002.663,-7.4,1.2,-32.4,1.2,11.918,11.918046370130341,277133.78769874637,743.8548141897772
3.3830272,41.7251678,383730520167683968,3.3830403,0.2,41.7252108,0.1,2002.664,2.9,1.2,12.5,1.2,11.974,11.974193496914143,263166.51344632404,82.7452688500405
3.0766269,41.3405081,383344832104687872,3.0765892,0.2,41.3404803,0.1,2002.657,-8.3,1.2,-8.1,1.2,11.98,11.980345988110141,261679.45721718736,209.06906156286027
3.4700017,41.7226144,383684890434094976,3.4700228,0.3,41.7225944,0.1,2002.664,4.6,1.2,-5.8,1.2,11.999,11.998677226432912,257298.42925969476,223.4663130987238
3.3965267,41.3663789,383670528064508288,3.3965706,0.3,41.3663625,0.1,2002.657,9.6,1.2,-4.8,1.2,12.016,12.016012705140755,253222.8797689412,154.59337850793
3.7119794,41.7176322,383704097527842816,3.7119647,0.3,41.7176242,0.2,2002.661,-3.2,1.1,-2.3,1.1,12.03,12.03048186610596,249870.6687205185,128.7753879977025
3.4641194,41.5751467,383681729339207680,3.4641169,0.4,41.5751411,0.3,2002.664,-0.6,1.2,-1.6,1.2,12.06,12.05978877872864,243216.20854155908,155.87933461475714
2.9810272,41.7701869,383740415772331776,2.9810786,0.1,41.7698008,0.1,2002.665,11.2,1.1,-112.7,1.1,12.073,12.072806093446616,240317.60554297344,67.4450168875669
3.0340523,41.5077531,383349779907006464,3.0340281,0.3,41.507735,0.1,2002.661,-5.3,1.0,-5.3,1.0,12.079,12.079096052654123,238929.40658977863,102.83947655299524
3.4242725,41.3678753,383670596783984768,3.4242508,0.2,41.3678733,0.1,2002.657,-4.7,1.2,-0.5,1.2,12.089,12.089225866763462,236710.58505327615,204.49462877719023
