guide_ra,guide_dec,phot_g_mean_mag,cmos_id
12.89827,39.5844742,14.1,7
12.9741608,39.5364411,14.114,7
12.9236617,39.5087536,14.623,7
12.956665,39.5106967,14.859,7
12.9516472,39.4804481,14.983,7
12.943045,39.3168586,13.441,8
12.9161925,39.2851619,13.928,8
12.9039425,39.424305,9.026,8
12.9065056,39.4290372,11.196,8
12.988025,39.4758975,14.443,8
12.9857419,39.4527306,14.539,8
13.0187078,39.3312042,11.962,8
13.0805134,39.4575736,12.384,8
13.0657194,39.3758986,12.703,8
13.0128357,39.4151233,13.073,8
13.0636389,39.3609303,14.009,8
13.0590842,39.3471658,14.294,8
12.9541153,39.3412817,14.365,8
12.9337975,39.3927656,14.734,8
13.091175,39.3544133,14.746,8
12.9655056,39.3558825,14.826,8
13.0629892,39.3804722,14.924,8
10.6834072,40.3533617,12.394,1
10.6835672,40.4390047,12.875,1
10.5784806,40.386795,12.905,1
10.7303638,40.3482206,13.286,1
10.6658392,40.3828181,13.401,1
10.7104019,40.4037075,13.648,1
10.5935669,40.32417,13.696,1
10.6444081,40.3174675,13.995,1
10.6097622,40.3516364,14.641,1
10.6461875,40.3862836,14.877,1
10.7116336,40.3171986,14.891,1
10.6206144,40.3735678,14.931,1
10.7449214,40.4020719,9.054,1
10.7079364,40.4524514,12.886,1
10.7216069,40.4408742,14.939,1
10.778634,40.3567681,12.802,1
10.7732362,40.3581125,13.602,1
10.73572,40.3277208,14.132,1
10.7331636,40.1459497,9.155,2
10.6972003,40.2335239,12.427,2
10.7262508,40.2769592,12.701,2
10.6672893,40.2244606,13.727,2
10.7138166,40.2442175,13.919,2
10.6784767,40.1956997,14.278,2
10.7557333,40.2235486,14.929,2
10.6885544,40.2047983,14.98,2
10.8279697,40.2114647,11.776,2
10.7974669,40.2952728,12.923,2
10.7915308,40.2264211,13.402,2
10.8408308,40.3012586,13.631,2
10.8827653,40.2542053,14.147,2
10.8513461,40.312115,14.358,2
10.8506281,40.3112747,14.535,2
10.9288075,40.2155514,14.614,2
10.7649339,40.2767789,14.781,2
10.9630636,40.0491647,11.891,3
10.8928469,40.0838642,12.01,3
10.8292964,40.0626081,12.373,3
10.7831583,40.1433378,12.837,3
10.9276208,40.1557128,13.337,3
10.8895928,40.0208833,14.041,3
10.8674133,40.0993606,14.308,3
10.9618853,40.1126903,14.495,3
10.91319,40.1386519,14.608,3
10.9399711,40.0791981,14.703,3
10.9482073,40.0585258,14.861,3
10.9544458,40.1275453,14.899,3
10.9021825,40.0924436,14.948,3
10.8813885,40.1568719,14.956,3
10.7565342,40.0781744,11.821,3
10.8021286,40.0436042,12.313,3
10.8191975,40.0705,13.364,3
10.7972256,40.0047544,13.788,3
10.8024288,40.0241622,13.883,3
10.7437136,40.0861,14.438,3
10.7976857,40.0668103,14.742,3
10.8820705,39.9325792,11.205,4
10.9185236,39.9971658,11.898,4
10.9383253,39.9218056,12.658,4
11.0618902,39.9331867,13.18,4
11.04225,40.0120972,13.244,4
10.9286653,39.9199194,13.253,4
10.9398339,39.9955644,13.542,4
11.0453122,39.9332872,13.546,4
11.0013672,39.9324464,13.642,4
10.8260106,39.9492647,13.863,4
10.9140224,39.9985658,14.139,4
10.8523775,39.9973158,14.424,4
10.9480267,39.9073744,14.438,4
10.8982042,39.9234144,14.466,4
10.8844289,39.8645175,14.538,4
11.0123842,39.9820181,14.553,4
