guide_ra,guide_dec,phot_g_mean_mag,cmos_id
9.7728883,40.9111583,13.705,1
9.8281667,40.9818328,10.931,1
9.82865,40.9287303,14.904,1
9.7711742,40.9559864,13.462,1
9.7938842,40.9901039,13.592,1
9.6921128,41.0071967,13.604,1
9.7423064,40.9696386,13.86,1
9.7526757,41.0208958,14.752,1
9.8869628,41.0317417,10.885,2
9.9162045,41.0483194,12.139,2
9.8650383,41.0501283,12.754,2
9.8661103,41.0576969,12.83,2
9.9682868,41.0492169,13.511,2
9.9742653,41.0318897,13.68,2
9.8182482,41.0557433,13.846,2
9.9372402,41.0970261,14.216,2
9.9061447,41.0289586,14.971,2
10.0088581,40.9699758,12.856,2
9.8966169,41.0079922,12.889,2
9.9900931,40.9512133,13.638,2
9.9643886,41.0195978,13.693,2
9.8952378,41.0007481,14.138,2
9.9898844,40.9423481,14.195,2
9.9466296,40.9215264,14.67,2
10.0223407,40.9703017,14.903,2
11.2800833,40.4467525,11.141,3
11.2105983,40.3984686,11.87,3
11.2106992,40.4450233,12.41,3
11.2581636,40.413835,13.046,3
11.1800404,40.5290989,13.273,3
11.2268828,40.4218692,13.852,3
11.2645878,40.4665114,14.736,3
11.1132994,40.5048275,14.19,3
11.1540636,40.5534569,14.288,3
11.1314553,40.4354197,12.852,3
11.1577781,40.4410522,14.782,3
11.1546769,40.4212708,14.965,3
11.1594608,40.3775889,14.971,3
11.3977644,40.5331664,11.798,4
11.4471122,40.5169383,12.989,4
11.4283727,40.5406456,13.285,4
11.3899336,40.5784278,14.501,4
11.4318122,40.5162317,14.587,4
11.2832305,40.5064689,11.668,4
11.2700297,40.5280931,13.505,4
11.4053508,40.4837419,13.673,4
11.3772382,40.51898,14.691,4
11.3499483,40.5360858,14.8,4
11.3245081,40.58291,11.062,4
11.2653642,40.5562822,13.599,4
11.9423758,42.7030847,10.773,1
11.9748647,42.6640058,13.952,1
11.9352778,42.6067739,14.495,1
11.9082011,42.6706397,14.624,1
11.9764967,42.5366239,13.008,1
11.9878558,42.5611019,13.379,1
11.9880669,42.5939025,13.913,1
11.9466242,42.5277306,14.525,1
11.9376585,42.5574114,14.704,1
